lar,war,har,Har,dhbyhar,Rcritar,Rar,Var,dVar
1000,8102,200,300,0.5,235.61999999993068,791.9872285896403,531003562.75887555,505081161.8355963
1000,8103,200,300,0.5,235.61999999993068,792.031098693231,531066394.6119474,505143993.6886682
1000,8104,200,300,0.5,235.61999999993068,792.0749662640874,531129226.46501917,505206825.54173994
1000,8105,200,300,0.5,235.61999999993068,792.1188313026482,531192058.31809103,505269657.3948118
1000,8106,200,300,0.5,235.61999999993068,792.1626938093518,531254890.1711628,505332489.24788356
1000,8107,200,300,0.5,235.61999999993068,792.2065537846365,531317722.02423453,505395321.1009553
1000,8108,200,300,0.5,235.61999999993068,792.2504112289408,531380553.8773064,505458152.9540272
1000,8109,200,300,0.5,235.61999999993068,792.2942661427027,531443385.73037815,505520984.8070989
1000,8110,200,300,0.5,235.61999999993068,792.3381185263601,531506217.58345,505583816.6601708
1000,8111,200,300,0.5,235.61999999993068,792.3819683803507,531569049.43652177,505646648.51324254
1000,8112,200,300,0.5,235.61999999993068,792.4258157051125,531631881.2895935,505709480.3663143
1000,8113,200,300,0.5,235.61999999993068,792.4696605010831,531694713.1426654,505772312.21938616
1000,8114,200,300,0.5,235.61999999993068,792.5135027686998,531757544.99573714,505835144.0724579
1000,8115,200,300,0.5,235.61999999993068,792.5573425084001,531820376.84880894,505897975.9255297
1000,8116,200,300,0.5,235.61999999993068,792.6011797206212,531883208.70188075,505960807.7786015
1000,8117,200,300,0.5,235.61999999993068,792.6450144057999,531946040.5549525,506023639.6316733
1000,8118,200,300,0.5,235.61999999993068,792.6888465643736,532008872.4080243,506086471.4847451
1000,8119,200,300,0.5,235.61999999993068,792.732676196779,532071704.2610961,506149303.3378169
1000,8120,200,300,0.5,235.61999999993068,792.7765033034528,532134536.1141679,506212135.1908887
1000,8121,200,300,0.5,235.61999999993068,792.8203278848316,532197367.96723974,506274967.0439605
1000,8122,200,300,0.5,235.61999999993068,792.8641499413519,532260199.82031155,506337798.8970323
1000,8123,200,300,0.5,235.61999999993068,792.90796947345,532323031.6733833,506400630.75010407
1000,8124,200,300,0.5,235.61999999993068,792.951786481562,532385863.5264551,506463462.6031759
1000,8125,200,300,0.5,235.61999999993068,792.995600966124,532448695.3795269,506526294.4562477
1000,8126,200,300,0.5,235.61999999993068,793.0394129275722,532511527.23259866,506589126.30931944
1000,8127,200,300,0.5,235.61999999993068,793.0832223663425,532574359.08567053,506651958.1623913
1000,8128,200,300,0.5,235.61999999993068,793.1270292828702,532637190.9387423,506714790.01546305
1000,8129,200,300,0.5,235.61999999993068,793.1708336775912,532700022.791814,506777621.8685348
1000,8130,200,300,0.5,235.61999999993068,793.2146355509409,532762854.6448859,506840453.7216067
1000,8131,200,300,0.5,235.61999999993068,793.2584349033546,532825686.49795765,506903285.5746784
1000,8132,200,300,0.5,235.61999999993068,793.3022317352676,532888518.3510295,506966117.4277503
1000,8133,200,300,0.5,235.61999999993068,793.3460260471147,532951350.20410126,507028949.28082204
1000,8134,200,300,0.5,235.61999999993068,793.3898178393313,533014182.057173,507091781.1338938
1000,8135,200,300,0.5,235.61999999993068,793.433607112352,533077013.9102449,507154612.98696566
1000,8136,200,300,0.5,235.61999999993068,793.4773938666115,533139845.76331663,507217444.8400374
1000,8137,200,300,0.5,235.61999999993068,793.5211781025445,533202677.6163885,507280276.6931093
1000,8138,200,300,0.5,235.61999999993068,793.5649598205852,533265509.46946025,507343108.546181
1000,8139,200,300,0.5,235.61999999993068,793.6087390211682,533328341.322532,507405940.3992528
1000,8140,200,300,0.5,235.61999999993068,793.6525157047278,533391173.17560387,507468772.25232464
1000,8141,200,300,0.5,235.61999999993068,793.6962898716977,533454005.0286756,507531604.1053964
1000,8142,200,300,0.5,235.61999999993068,793.7400615225122,533516836.8817474,507594435.9584682
1000,8143,200,300,0.5,235.61999999993068,793.7838306576049,533579668.73481923,507657267.81154
1000,8144,200,300,0.5,235.61999999993068,793.8275972774098,533642500.58789104,507720099.6646118
1000,8145,200,300,0.5,235.61999999993068,793.8713613823603,533705332.44096285,507782931.5176836
1000,8146,200,300,0.5,235.61999999993068,793.9151229728898,533768164.2940346,507845763.3707554
1000,8147,200,300,0.5,235.61999999993068,793.9588820494318,533830996.1471064,507908595.2238272
1000,8148,200,300,0.5,235.61999999993068,794.0026386124196,533893828.0001782,507971427.076899
1000,8149,200,300,0.5,235.61999999993068,794.046392662286,533956659.85325,508034258.9299708
1000,8150,200,300,0.5,235.61999999993068,794.0901441994641,534019491.7063218,508097090.78304255
1000,8151,200,300,0.5,235.61999999993068,794.1338932243867,534082323.5593936,508159922.63611436
1000,8152,200,300,0.5,235.61999999993068,794.1776397374867,534145155.4124654,508222754.48918617
1000,8153,200,300,0.5,235.61999999993068,794.2213837391965,534207987.26553714,508285586.3422579
1000,8154,200,300,0.5,235.61999999993068,794.2651252299487,534270819.118609,508348418.1953298
1000,8155,200,300,0.5,235.61999999993068,794.3088642101756,534333650.97168076,508411250.04840153
1000,8156,200,300,0.5,235.61999999993068,794.3526006803094,534396482.82475257,508474081.90147334
1000,8157,200,300,0.5,235.61999999993068,794.3963346407821,534459314.6778244,508536913.75454515
1000,8158,200,300,0.5,235.61999999993068,794.4400660920257,534522146.5308961,508599745.6076169
1000,8159,200,300,0.5,235.61999999993068,794.4837950344725,534584978.383968,508662577.46068877
1000,8160,200,300,0.5,235.61999999993068,794.5275214685536,534647810.23703974,508725409.3137605
1000,8161,200,300,0.5,235.61999999993068,794.5712453947008,534710642.0901115,508788241.16683227
1000,8162,200,300,0.5,235.61999999993068,794.6149668133457,534773473.94318336,508851073.01990414
1000,8163,200,300,0.5,235.61999999993068,794.6586857249197,534836305.7962551,508913904.8729759
1000,8164,200,300,0.5,235.61999999993068,794.7024021298538,534899137.649327,508976736.72604775
1000,8165,200,300,0.5,235.61999999993068,794.7461160285793,534961969.5023987,509039568.5791195
1000,8166,200,300,0.5,235.61999999993068,794.7898274215271,535024801.35547054,509102400.4321913
1000,8167,200,300,0.5,235.61999999993068,794.833536309128,535087633.20854235,509165232.2852631
1000,8168,200,300,0.5,235.61999999993068,794.8772426918129,535150465.0616141,509228064.1383349
1000,8169,200,300,0.5,235.61999999993068,794.9209465700123,535213296.91468596,509290895.99140674
1000,8170,200,300,0.5,235.61999999993068,794.9646479441567,535276128.7677577,509353727.8444785
